address,size,name,status,module,notes
0x800128C4,0xA0,func_800128C4,sdk_asm,psyq/crt,
0x80012964,0x70,__main,sdk_asm,psyq/crt,
0x800129D4,0x68,func_800129D4,sdk_asm,psyq/crt,
0x80012A3C,0x184,Main_Init,matching_c,game,
0x80012BC0,0x78,Main_VBlankCB,matching_c,game,
0x80012C38,0x38,Main_AdvanceFrame,matching_c,game,
0x80012C70,0x30,Main_AdvanceFrames,matching_c,game,
0x80012CA0,0xA8,Graphics_SyncFrame,matching_c,game,
0x80012D48,0x210,Graphics_BeginFrame,matching_c,game,
0x80012F58,0xE8,func_80012F58,matching_c,game,
0x80013040,0x20C,func_80013154,matching_c,game,
0x8001324C,0x154,func_8001324C,matching_c,game,
0x800133A0,0x2C,Main_ClearFrameServiceCallbacks,matching_c,game,
0x800133CC,0x4C,ViewState_ApplyViewpointOffset,matching_c,game,
0x80013418,0xD0,ViewState_ApplyOrbit,matching_c,game,
0x800134E8,0xD8,func_800135FC,matching_c,game,
0x800135C0,0x10,func_800136D4,matching_c,game,
0x800135D0,0x100,File_SetPositionTable,matching_c,game,
0x800136D0,0xB4,File_WaitForTransfers,matching_c,game,
0x80013784,0x5C,File_InitTransferState,matching_c,game,
0x800137E0,0x4C,File_GetPosition,matching_c,game,
0x8001382C,0x58,File_SetTransferLocation,matching_c,game,
0x80013884,0xFC,File_InitTransferDescriptor,matching_c,game,
0x80013980,0x70,func_80013A94,matching_c,game,
0x800139F0,0x64,File_TryStartPrimaryTransfer,matching_c,game,
0x80013A54,0xC0,File_RequestSecondaryRangeTransfer,matching_c,game,
0x80013B14,0x478,File_TransferReadyCallback,matching_c,game,
0x80013F8C,0x94,func_800140A0,matching_c,game,
0x80014020,0x74,func_80014134,matching_c,game,
0x80014094,0x78,func_800141A8,matching_c,game,
0x8001410C,0x74,func_80014220,matching_c,game,
0x80014180,0x74,Japanese_func_80014294,matching_c,game,
0x800141F4,0x88,func_80014308,matching_c,game,
0x8001427C,0x4C,func_80014390,matching_c,game,
0x800142C8,0xDC,func_800142C8,matching_c,game,
0x800143A4,0xA4,func_800144B8,matching_c,game,
0x80014448,0x500,func_80014448,matching_c,game,
0x80014948,0xD4,File_ServiceTransfers,matching_c,game,
0x80014A1C,0x110,func_80014A1C,matching_c,game,
0x80014B2C,0x1DC,func_80014C40,matching_c,game,
0x80014D08,0xD0,File_RequestAsyncTransfer,matching_c,game,
0x80014DD8,0xB8,File_TryRequestAsyncTransfer,matching_c,game,
0x80014E90,0x6C,func_80014FA4,matching_c,game,
0x80014EFC,0x28,func_80015010,matching_c,game,
0x80014F24,0x40,func_80015038,matching_c,game,
0x80014F64,0xC4,File_RequestSecondaryAsyncTransfer,matching_c,game,
0x80015028,0x74,func_8001513C,matching_c,game,
0x8001509C,0x28,Fade_Init,matching_c,game,
0x800150C4,0x138,Fade_StepBands,matching_c,game,
0x800151FC,0x1D4,Fade_Update,matching_c,game,
0x800153D0,0x1D4,Fade_DrawOverlay,matching_c,game,
0x800155A4,0x24,Fade_FillBandLevels,matching_c,game,
0x800155C8,0x50,func_800156DC,matching_c,game,
0x80015618,0x54,func_8001572C,matching_c,game,
0x8001566C,0x5C,Fade_InitIn,matching_c,game,
0x800156C8,0x40,Fade_StartIn,matching_c,game,
0x80015708,0x54,Fade_InitInColor,matching_c,game,
0x8001575C,0x48,func_80015870,matching_c,game,
0x800157A4,0x4C,Fade_InitOut,matching_c,game,
0x800157F0,0x40,Fade_StartOut,matching_c,game,
0x80015830,0x54,Fade_InitOutColor,matching_c,game,
0x80015884,0x40,Fade_Wait,matching_c,game,
0x800158C4,0x28,Fade_WaitInitIn,matching_c,game,
0x800158EC,0x28,Fade_WaitIn,matching_c,game,
0x80015914,0x28,Fade_WaitInitInColor,matching_c,game,
0x8001593C,0x44,func_80015A50,matching_c,game,
0x80015980,0x44,func_80015A94,matching_c,game,
0x800159C4,0x28,Fade_WaitInitOut,matching_c,game,
0x800159EC,0x28,Fade_WaitOut,matching_c,game,
0x80015A14,0x28,Fade_WaitInitOutColor,matching_c,game,
0x80015A3C,0x44,func_80015B50,matching_c,game,
0x80015A80,0x44,func_80015B94,matching_c,game,
0x80015AC4,0x18,Fade_SetTargetLevel,matching_c,game,
0x80015ADC,0x1C,Fade_SetLevel,matching_c,game,
0x80015AF8,0x3C,Fade_StartInKeepOverlay,matching_c,game,
0x80015B34,0x3C,Fade_StartInKeepOverlayAndHideSecondaryTables,matching_c,game,
0x80015B70,0x3C,Fade_StartOutKeepOverlay,matching_c,game,
0x80015BAC,0x3C,Fade_StartOutKeepOverlayAndHideSecondaryTables,matching_c,game,
0x80015BE8,0x10,Fade_EnableOrderingTables,matching_c,game,
0x80015BF8,0xC,Fade_DisableOrderingTables,matching_c,game,
0x80015C04,0xA0,func_80015D18,matching_c,game,
0x80015CA4,0x44,func_80015DB8,matching_c,game,
0x80015CE8,0xF8,func_80015DFC,matching_c,game,
0x80015DE0,0x608,func_80015EF4,matching_c,game,
0x800163E8,0x27C,Duel_DrawFieldCards,matching_c,game,
0x80016664,0xC,DisplayObject_SetResourceVariantFromSign,matching_c,game,
0x80016670,0x580,func_80016784,matching_c,game,
0x80016BF0,0x28,Duel_DrawCardAtOutputPosition,matching_c,game,
0x80016C18,0xB0,func_80016D2C,matching_c,game,
0x80016CC8,0x94,Duel_UpdateLifePointDisplay,matching_c,game,
0x80016D5C,0x19C,Duel_DrawLifePointsAndDeckCounts,matching_c,game,
0x80016EF8,0x28,DuelCard_CanActThisTurn,matching_c,game,
0x80016F20,0x44,Duel_GetCardViewerRequestId,matching_c,game,
0x80016F64,0x68,Duel_CalcCardStats,matching_c,game,
0x80016FCC,0x78,func_80017130,matching_c,game,
0x80017044,0x3B4,Duel_LoadPackageStage,matching_c,game,
0x800173F8,0x44,func_800173F8,matching_c,game,
0x8001743C,0x130,Duel_InitSideStates,matching_c,game,
0x8001756C,0x38,Duel_ClearHandSlots,matching_c,game,
0x800175A4,0x74,func_800175A4,matching_c,game,
0x80017618,0x38,Duel_ResetCardRecords,matching_c,game,
0x80017650,0xF8,func_800177C4,matching_c,game,
0x80017748,0xD0,func_800178BC,matching_c,game,
0x80017818,0x60,Duel_LoadTerrainPackage,matching_c,game,
0x80017878,0x3B8,Duel_InitScene,matching_c,game,
0x80017C30,0x88,func_80017DB4,matching_c,game,
0x80017CB8,0xC8,func_80017E3C,matching_c,game,
0x80017D80,0x100,func_80017F04,matching_c,game,
0x80017E80,0x7C,func_80018004,matching_c,game,
0x80017EFC,0xD0,Duel_ApplyCardObjectFlags,matching_c,game,
0x80017FCC,0x9C,func_80018150,matching_c,game,
0x80018068,0x70,Duel_GetCardEffectVariant,matching_c,game,
0x800180D8,0x3AC,DuelScene_UpdateResume,matching_c,game,
0x80018484,0x384,DuelScene_UpdateStartup,matching_c,game,
0x80018808,0x2A8,DuelScene_UpdateDrawPhase,matching_c,game,
0x80018AB0,0xC4,Duel_UpdateDrawCardSlide,matching_c,game,
0x80018B74,0xBC,Duel_HasAllExodiaPieces,matching_c,game,
0x80018C30,0x238,DuelScene_UpdateDrawResolution,matching_c,game,
0x80018E68,0x460,DuelScene_UpdateExodiaResult,matching_c,game,
0x800192C8,0x118,DuelCard_CaptureRoundedTexture,matching_c,game,
0x800193E0,0xA4,Duel_CreateCardEffectOverlay,matching_c,game,
0x80019484,0x400,DuelScene_UpdateCardUse,matching_c,game,
0x80019884,0x58,Duel_CheckEquip,matching_c,game,
0x800198DC,0xCC,Duel_CheckFusion,matching_c,game,
0x800199A8,0x74,DisplayObject_UpdateAlphaTransition,matching_c,game,
0x80019A1C,0x30,func_80019BA0,matching_c,game,
0x80019A4C,0xF8,func_80019BD0,matching_c,game,
0x80019B44,0x50,func_80019CC8,matching_c,game,
0x80019B94,0x13B4,DuelScene_UpdateCardPlacement,matching_c,game,
0x8001AF48,0xA4,func_8001B0CC,matching_c,game,
0x8001AFEC,0x5F4,func_8001AFEC,matching_c,game,
0x8001B5E0,0x2C,func_8001B780,matching_c,game,
0x8001B60C,0x10C,func_8001B7AC,matching_c,game,
0x8001B718,0x80,func_8001B8B8,matching_c,game,
0x8001B798,0x1B8,func_8001B938,matching_c,game,
0x8001B950,0x258,func_8001BAF0,matching_c,game,
0x8001BBA8,0x40,Duel_CheckQuitInput,matching_c,game,
0x8001BBE8,0x14A0,func_8001BBE8,matching_c,game,
0x8001D088,0x104,DuelCard_UpdateDefenseRotation,matching_c,game,
0x8001D18C,0x80,func_8001D344,matching_c,game,
0x8001D20C,0x154,func_8001D3C4,matching_c,game,
0x8001D360,0x9C,func_8001D518,matching_c,game,
0x8001D3FC,0xBC,func_8001D5B4,matching_c,game,
0x8001D4B8,0x1600,DuelScene_UpdateFieldActions,matching_c,game,
0x8001EAB8,0xB0,func_8001EC70,matching_c,game,
0x8001EB68,0x124,func_8001ED20,matching_c,game,
0x8001EC8C,0xD8,Duel_CalcGuardianStarBonus,matching_c,game,
0x8001ED64,0x5C,Duel_CalcBattleAttack,matching_c,game,
0x8001EDC0,0x5C,Duel_CalcBattleDefense,matching_c,game,
0x8001EE1C,0xFC,func_8001EFD4,matching_c,game,
0x8001EF18,0x294,Duel_SelectAttackTrap,matching_c,game,
0x8001F1AC,0x1F8,Duel_UpdateTrapPresentation,matching_c,game,
0x8001F3A4,0x1378,DuelScene_UpdateBattle,matching_c,game,
0x8002071C,0xB4,DuelScene_UpdateTurnSwitch,matching_c,game,
0x800207D0,0x25C,func_80020988,matching_c,game,
0x80020A2C,0x168,func_80020BE4,matching_c,game,
0x80020B94,0x19C,func_80020B94,matching_c,game,
0x80020D30,0x64,func_80020D30,matching_c,game,
0x80020D94,0x534,func_80020D94,matching_c,game,
0x800212C8,0xD8,Duel_ShowResultPage,matching_c,game,
0x800213A0,0x40,func_800213A0,matching_c,game,
0x800213E0,0x278,Duel_CalcRankScore,matching_c,game,
0x80021658,0x84,Duel_SelectCardDrop,matching_c,game,
0x800216DC,0x5C,Duel_AwardCard,matching_c,game,
0x80021738,0x7C8,DuelScene_UpdateResultRewards,matching_c,game,
0x80021F00,0x23C,func_80021F00,matching_c,game,
0x8002213C,0x324,func_8002213C,matching_c,game,
0x80022460,0x5C,DuelScene_UpdateEffectPreview,matching_c,game,
0x800224BC,0x380,func_80022674,matching_c,game,
0x8002283C,0x3A0,func_800229F4,matching_c,game,
0x80022BDC,0x158,func_80022D94,matching_c,game,
0x80022D34,0xAC,DuelSelection_UpdateLinkedObject,matching_c,game,
0x80022DE0,0x58,DuelSelection_LinkDisplayObject,matching_c,game,
0x80022E38,0xA0,DuelSelection_LinkDisplayObjects,matching_c,game,
0x80022ED8,0xB4,func_80023090,matching_c,game,
0x80022F8C,0x348,func_80022F8C,matching_c,game,
0x800232D4,0x58,func_8002348C,matching_c,game,
0x8002332C,0xDC,func_800234E4,matching_c,game,
0x80023408,0x730,func_80023408,matching_c,game,
0x80023B38,0x2B4,func_80023D08,matching_c,game,
0x80023DEC,0xA4,func_80023FBC,matching_c,game,
0x80023E90,0x28,DuelCursor_UpdateFromInput,matching_c,game,
0x80023EB8,0x28,DuelCursor_UpdateDirection,matching_c,game,
0x80023EE0,0x150,Duel_UpdateCardPickCursor,matching_c,game,
0x80024030,0x184,DuelScene_Update,matching_c,game,
0x800241B4,0x6C,DuelScene_UpdateWithSideInput,matching_c,game,
0x80024220,0x1AC,Duel_ShuffleDeck,matching_c,game,
0x800243CC,0x4C,Duel_ShuffleBothDecks,matching_c,game,
0x80024418,0x118,Duel_StepCardDataTransfer,matching_c,game,
0x80024530,0x30,Util_CompareS16,matching_c,game,
0x80024560,0xF0,Duel_RequestCombinedDeckData,matching_c,game,
0x80024650,0xF0,Duel_PopulateCombinedDeckData,matching_c,game,
0x80024740,0x40,DuelCard_DeactivateRecord,matching_c,game,
0x80024780,0x28,DuelCard_RemoveFromField,matching_c,game,
0x800247A8,0x64,Duel_GetTerrainBoost,matching_c,game,
0x8002480C,0x23C,Duel_SetupCardRecord,matching_c,game,
0x80024A48,0x118,func_80024A48,matching_c,game,
