address,size,name,status,module,notes
0x80168004,0x4C,CampaignMap_ClearLocationObjects,matching_c,overlay/overworld_before_coup,
0x80168050,0x13C,CampaignMap_RebuildLocationObjects,matching_c,overlay/overworld_before_coup,
0x8016818C,0x5C,CampaignMap_CreateLocationLabel,matching_c,overlay/overworld_before_coup,
0x801681E8,0x70,CampaignMap_SetCameraFromLocation,matching_c,overlay/overworld_before_coup,
0x80168258,0xB8,CampaignMap_UpdateView,matching_c,overlay/overworld_before_coup,
0x80168310,0x78,CampaignMap_ResetCamera,matching_c,overlay/overworld_before_coup,
0x80168388,0x200,CampaignMap_MoveCameraDpad,matching_c,overlay/overworld_before_coup,
0x80168588,0xE4,CampaignMap_CreateLocationMarker,matching_c,overlay/overworld_before_coup,
0x8016866C,0x250,CampaignMap_SetLocation,matching_c,overlay/overworld_before_coup,
0x801688BC,0x1EC,CampaignMap_StartCameraTween,matching_c,overlay/overworld_before_coup,
0x80168AA8,0x364,CampaignMap_UpdateLocationTransition,matching_c,overlay/overworld_before_coup,
0x80168E0C,0x1C0,CampaignMap_PickExit,matching_c,overlay/overworld_before_coup,
0x80168FCC,0x1DC,CampaignMap_UpdateLocation,matching_c,overlay/overworld_before_coup,
0x801697D0,0x2CC,CampaignMap_PickAlternateExit,matching_c,overlay/overworld_before_coup,
0x80169A9C,0x3B8,CampaignMap_UpdateAlternateLocation,matching_c,overlay/overworld_before_coup,
