mode,address,attempt,reference_path,reference_sha256,profile,candidate_source,candidate_sha256,result,summary
reference_match,0x80012B50,1,tmp/references/ygofm-decomp/src/func_80012B50.c,f202250e7255f4fdc7db67f0a7de190fa0928fa59cf86cefff2c9f25380cdfab,gcc_2_8_1_g8,tmp/agents/reference-pure-7/prepared/func_80012B50.c,8fed3d50bad1c6b804e90dd08f09fde31d1a69308cd4abd50df0dc2b85e88fac,nonmatch,text 392/388 bytes; 206 differing bytes; first difference 0x50; relocations_exact=False
reference_match,0x80012B50,2,tmp/references/ygofm-decomp/src/func_80012B50.c,f202250e7255f4fdc7db67f0a7de190fa0928fa59cf86cefff2c9f25380cdfab,gcc_2_8_1_g8_split,tmp/agents/reference-pure-7/prepared/func_80012B50.c,8fed3d50bad1c6b804e90dd08f09fde31d1a69308cd4abd50df0dc2b85e88fac,nonmatch,text 380/388 bytes; 265 differing bytes; first difference 0x50; relocations_exact=False
reference_match,0x80012B50,3,tmp/references/ygofm-decomp/src/func_80012B50.c,f202250e7255f4fdc7db67f0a7de190fa0928fa59cf86cefff2c9f25380cdfab,gcc_2_8_1_g0,tmp/agents/reference-pure-7/prepared/func_80012B50.c,8fed3d50bad1c6b804e90dd08f09fde31d1a69308cd4abd50df0dc2b85e88fac,nonmatch,text 436/388 bytes; 292 differing bytes; first difference 0x50; relocations_exact=False
reference_match,0x80012B50,4,tmp/references/ygofm-decomp/src/func_80012B50.c,f202250e7255f4fdc7db67f0a7de190fa0928fa59cf86cefff2c9f25380cdfab,gcc_2_8_1_g0_split,tmp/agents/reference-pure-7/prepared/func_80012B50.c,8fed3d50bad1c6b804e90dd08f09fde31d1a69308cd4abd50df0dc2b85e88fac,nonmatch,text 420/388 bytes; 284 differing bytes; first difference 0x52; relocations_exact=False
reference_match,0x80012B50,5,tmp/references/ygofm-decomp/src/func_80012B50.c,f202250e7255f4fdc7db67f0a7de190fa0928fa59cf86cefff2c9f25380cdfab,gcc_2_8_1_g8_no_sched2,tmp/agents/reference-pure-7/prepared/func_80012B50.c,8fed3d50bad1c6b804e90dd08f09fde31d1a69308cd4abd50df0dc2b85e88fac,nonmatch,text 392/388 bytes; 210 differing bytes; first difference 0x50; relocations_exact=False
reference_match,0x80012B50,6,tmp/references/ygofm-decomp/src/func_80012B50.c,f202250e7255f4fdc7db67f0a7de190fa0928fa59cf86cefff2c9f25380cdfab,gcc_2_8_1_g0_no_sched2,tmp/agents/reference-pure-7/prepared/func_80012B50.c,8fed3d50bad1c6b804e90dd08f09fde31d1a69308cd4abd50df0dc2b85e88fac,deferred,text 436/388 bytes; 295 differing bytes; first difference 0x52; relocations_exact=False
post_terminal_resolution,0x80012CD4,1,tmp/references/ygofm-decomp-machinegun/src/func_80012CD4.c,10b1944180a0ec1fb73a337489118550306d3dc8e99d66618040a8e9f4542fb9,gcc_2_8_1_g8,tmp/Main_VBlankCB_candidate.c,65c0434f0a8d195f7d5dc663123af1926b205c34868461715f6659db5f74a191,matched,"Exact bytes, relocations, sections, and 0x78 size; local validation established that the three interrupt counters must be volatile while the reentrancy bytes remain non-volatile."
reference_match,0x80012CD4,1,tmp/references/ygofm-decomp/src/func_80012CD4.c,10b1944180a0ec1fb73a337489118550306d3dc8e99d66618040a8e9f4542fb9,gcc_2_8_1_g8,tmp/agents/reference-pure-2/candidates/func_80012CD4_v1.c,e58778225409ab5312920ff700ee8564215aa06d66e0547f03f25cae2d2c8aea,nonmatch,byte +0x4: 00!=c0; word +0x4: 00000000!=c001838f; relocations differ; size 116/120
reference_match,0x80012CD4,2,tmp/references/ygofm-decomp/src/func_80012CD4.c,10b1944180a0ec1fb73a337489118550306d3dc8e99d66618040a8e9f4542fb9,gcc_2_8_1_g8,tmp/agents/reference-pure-2/candidates/func_80012CD4_v2.c,3bbc55ba36c3f995e78cc3a8f09bdc51df5f89eddb94823e06b317520255de0a,nonmatch,byte +0x4: 00!=e8; word +0x4: 00000000!=e8ffbd27; relocations differ; size 116/120
reference_match,0x80012CD4,3,tmp/references/ygofm-decomp/src/func_80012CD4.c,10b1944180a0ec1fb73a337489118550306d3dc8e99d66618040a8e9f4542fb9,gcc_2_8_1_g8,tmp/agents/reference-pure-2/candidates/func_80012CD4_v3.c,85e7f0ec0db107379b3e2d4b2f2895541776fb274fe078b72a162ee4524fb4b5,nonmatch,byte +0x4: 00!=c0; word +0x4: 00000000!=c001838f; relocations differ; size 116/120
