address,size,name,status,module,notes
0x80168004,0x4C,func_80168004,matching_c,overlay/overworld_before_coup,Exact overlay match with gcc_2_8_1_g0_split. Releases the four D_801695F8 objects; both variants share one source because their text is byte-identical.
0x80168050,0x13C,func_80168050,unmatched_asm,overlay/overworld_before_coup,Exact boundary from the verified overlay split; splat reported the epilogue as a separate label, so the rows were merged.
0x8016818C,0x5C,func_8016818C,unmatched_asm,overlay/overworld_before_coup,Exact boundary from the verified overlay split.
0x801681E8,0x70,func_801681E8,unmatched_asm,overlay/overworld_before_coup,Exact boundary from the verified overlay split.
0x80168258,0xB8,func_80168258,unmatched_asm,overlay/overworld_before_coup,Exact boundary from the verified overlay split; splat reported the epilogue as a separate label, so the rows were merged.
0x80168310,0x78,func_80168310,unmatched_asm,overlay/overworld_before_coup,Exact boundary from the verified overlay split; splat reported the epilogue as a separate label, so the rows were merged.
0x80168388,0x200,CampaignMap_MoveCameraDpad,unmatched_asm,overlay/overworld_before_coup,Name from module-scoped external symbols; exact boundary from the verified overlay split.
0x80168588,0xE4,func_80168588,unmatched_asm,overlay/overworld_before_coup,Exact boundary from the verified overlay split; splat reported the epilogue as a separate label, so the rows were merged.
0x8016866C,0x250,CampaignMap_SetLocation,unmatched_asm,overlay/overworld_before_coup,Name from module-scoped external symbols; exact boundary from the verified overlay split.
0x801688BC,0x1EC,func_801688BC,unmatched_asm,overlay/overworld_before_coup,Exact boundary from the verified overlay split; splat reported the epilogue as a separate label, so the rows were merged.
0x80168AA8,0x364,func_80168AA8,unmatched_asm,overlay/overworld_before_coup,Exact boundary from the verified overlay split.
0x80168E0C,0x1C0,CampaignMap_PickExit,unmatched_asm,overlay/overworld_before_coup,Name from module-scoped external symbols; exact boundary from the verified overlay split.
0x80168FCC,0x1DC,func_80168FCC,unmatched_asm,overlay/overworld_before_coup,Exact boundary from the verified overlay split.
0x801697D0,0x684,func_801697D0,unmatched_asm,overlay/overworld_before_coup,Exact boundary from the verified overlay split.
