id,name,type,attribute,level,guardian_star_1,guardian_star_2,attack,defense,password,starchip_cost
1,Blue-eyes White Dragon,Dragon,Light,8,Sun,Mars,3000,2500,89631139,999999
2,Mystical Elf,Spellcaster,Light,4,Sun,Jupiter,800,2000,15025844,160
3,Hitotsu-me Giant,Beast-Warrior,Earth,4,Moon,Mars,1200,1000,76184692,70
4,Baby Dragon,Dragon,Wind,3,Uranus,Sun,1200,700,88819587,999999
5,Ryu-kishin,Fiend,Dark,3,Saturn,Sun,1000,500,15303296,30
6,Feral Imp,Fiend,Dark,4,Moon,Jupiter,1300,1400,41392891,140
7,Winged Dragon #1,Dragon,Wind,4,Saturn,Moon,1400,1200,87796900,999999
8,Mushroom Man,Plant,Earth,2,Jupiter,Sun,800,600,14181608,30
9,Shadow Specter,Zombie,Dark,1,Moon,Saturn,500,200,40575313,15
10,Blackland Fire Dragon,Dragon,Dark,4,Mercury,Moon,1500,800,87564352,80
11,Sword Arm of Dragon,Dinosaur,Earth,6,Uranus,Moon,1750,2030,13069066,1000
12,Swamp Battleguard,Warrior,Earth,5,Mercury,Mars,1800,1500,40453765,290
13,Tyhone,Winged Beast,Wind,4,Saturn,Venus,1200,1400,72842870,120
14,Battle Steer,Beast-Warrior,Earth,5,Moon,Uranus,1800,1300,18246479,230
15,Flame Swordsman,Warrior,Fire,5,Mars,Sun,1800,1600,45231177,320
16,Time Wizard,Spellcaster,Light,2,Venus,Sun,500,400,71625222,999999
17,Right Leg of the Forbidden One,Spellcaster,Dark,1,Mercury,Jupiter,200,300,08124921,999999
18,Left Leg of the Forbidden One,Spellcaster,Dark,1,Mercury,Saturn,200,300,44519536,999999
19,Right Arm of the Forbidden One,Spellcaster,Dark,1,Mercury,Uranus,200,300,70903634,999999
20,Left Arm of the Forbidden One,Spellcaster,Dark,1,Mercury,Pluto,200,300,07902349,999999
21,Exodia the Forbidden,Spellcaster,Dark,3,Mercury,Neptune,1000,1000,33396948,999999
22,Summoned Skull,Fiend,Dark,6,Moon,Pluto,2500,1200,70781052,999999
23,The Wicked Worm Beast,Beast,Earth,3,Uranus,Venus,1400,700,06285791,60
