address,size,name,gte_commands,gte_transfers,heuristic_flags,non_gte_flags,unimplemented,command_families,transfer_families,decision
0x80033DB0,0xA80,func_80033DB0,20,89,24,0,0,ncds;nclip;rtps,cfc2;lwc2;mfc2;mtc2;swc2,unmatched_asm
0x80034830,0xD68,func_80034830,26,116,30,0,0,ncds;nclip;rtps,cfc2;lwc2;mfc2;mtc2;swc2,unmatched_asm
0x800612C0,0x25C,func_800612C0,4,17,4,0,0,avsz3;nccs;nclip;rtpt,cfc2;lwc2;mfc2;mtc2;swc2,handwritten_asm
0x8006151C,0x2C4,func_8006151C,4,25,4,0,0,avsz3;ncct;nclip;rtpt,cfc2;lwc2;mfc2;mtc2;swc2,handwritten_asm
0x800617E0,0x2A4,func_800617E0,5,21,5,0,0,avsz4;nccs;nclip;rtps;rtpt,cfc2;lwc2;mfc2;mtc2;swc2,handwritten_asm
0x80061A84,0x358,func_80061A84,6,33,5,0,0,avsz4;nccs;ncct;nclip;rtps;rtpt,cfc2;lwc2;mfc2;mtc2;swc2,handwritten_asm
0x80061DDC,0x27C,func_80061DDC,4,17,4,0,0,avsz3;nccs;nclip;rtpt,cfc2;lwc2;mfc2;mtc2;swc2,handwritten_asm
0x80062058,0x2E4,func_80062058,4,25,4,0,0,avsz3;ncct;nclip;rtpt,cfc2;lwc2;mfc2;mtc2;swc2,handwritten_asm
0x8006233C,0x2C4,func_8006233C,5,21,5,0,0,avsz4;nccs;nclip;rtps;rtpt,cfc2;lwc2;mfc2;mtc2;swc2,handwritten_asm
0x80062600,0x378,func_80062600,6,33,5,0,0,avsz4;nccs;ncct;nclip;rtps;rtpt,cfc2;lwc2;mfc2;mtc2;swc2,handwritten_asm
0x80062978,0x248,func_80062978,3,16,3,0,0,avsz3;nccs;rtpt,cfc2;lwc2;mfc2;mtc2;swc2,handwritten_asm
0x80062BC0,0x2B0,func_80062BC0,3,24,3,0,0,avsz3;ncct;rtpt,cfc2;lwc2;mfc2;mtc2;swc2,handwritten_asm
0x80062E70,0x290,func_80062E70,4,20,4,0,0,avsz4;nccs;rtps;rtpt,cfc2;lwc2;mfc2;mtc2;swc2,handwritten_asm
0x80063100,0x344,func_80063100,5,32,4,0,0,avsz4;nccs;ncct;rtps;rtpt,cfc2;lwc2;mfc2;mtc2;swc2,handwritten_asm
0x80063444,0x268,func_80063444,3,16,3,0,0,avsz3;nccs;rtpt,cfc2;lwc2;mfc2;mtc2;swc2,handwritten_asm
0x800636AC,0x2D0,func_800636AC,3,24,3,0,0,avsz3;ncct;rtpt,cfc2;lwc2;mfc2;mtc2;swc2,handwritten_asm
0x8006397C,0x2B0,func_8006397C,4,20,4,0,0,avsz4;nccs;rtps;rtpt,cfc2;lwc2;mfc2;mtc2;swc2,handwritten_asm
0x80063C2C,0x364,func_80063C2C,5,32,4,0,0,avsz4;nccs;ncct;rtps;rtpt,cfc2;lwc2;mfc2;mtc2;swc2,handwritten_asm
0x80063F90,0x2B8,func_80063F90,4,17,4,0,0,avsz3;nccs;nclip;rtpt,cfc2;lwc2;mfc2;mtc2;swc2,handwritten_asm
0x80064248,0x320,func_80064248,4,25,4,0,0,avsz3;ncct;nclip;rtpt,cfc2;lwc2;mfc2;mtc2;swc2,handwritten_asm
0x80064568,0x300,func_80064568,5,21,5,0,0,avsz4;nccs;nclip;rtps;rtpt,cfc2;lwc2;mfc2;mtc2;swc2,handwritten_asm
0x80064868,0x3B4,func_80064868,6,33,5,0,0,avsz4;nccs;ncct;nclip;rtps;rtpt,cfc2;lwc2;mfc2;mtc2;swc2,handwritten_asm
0x80064C1C,0x2D8,func_80064C1C,4,17,4,0,0,avsz3;nccs;nclip;rtpt,cfc2;lwc2;mfc2;mtc2;swc2,handwritten_asm
0x80064EF4,0x340,func_80064EF4,4,25,4,0,0,avsz3;ncct;nclip;rtpt,cfc2;lwc2;mfc2;mtc2;swc2,handwritten_asm
0x80065234,0x320,func_80065234,5,21,5,0,0,avsz4;nccs;nclip;rtps;rtpt,cfc2;lwc2;mfc2;mtc2;swc2,handwritten_asm
0x80065554,0x3D4,func_80065554,6,33,5,0,0,avsz4;nccs;ncct;nclip;rtps;rtpt,cfc2;lwc2;mfc2;mtc2;swc2,handwritten_asm
0x80065928,0x2A4,func_80065928,3,16,3,0,0,avsz3;nccs;rtpt,cfc2;lwc2;mfc2;mtc2;swc2,handwritten_asm
0x80065BCC,0x30C,func_80065BCC,3,24,3,0,0,avsz3;ncct;rtpt,cfc2;lwc2;mfc2;mtc2;swc2,handwritten_asm
0x80065ED8,0x2EC,func_80065ED8,4,20,4,0,0,avsz4;nccs;rtps;rtpt,cfc2;lwc2;mfc2;mtc2;swc2,handwritten_asm
0x800661C4,0x3A0,func_800661C4,5,32,4,0,0,avsz4;nccs;ncct;rtps;rtpt,cfc2;lwc2;mfc2;mtc2;swc2,handwritten_asm
0x80066564,0x2C4,func_80066564,3,16,3,0,0,avsz3;nccs;rtpt,cfc2;lwc2;mfc2;mtc2;swc2,handwritten_asm
0x80066828,0x32C,func_80066828,3,24,3,0,0,avsz3;ncct;rtpt,cfc2;lwc2;mfc2;mtc2;swc2,handwritten_asm
0x80066B54,0x30C,func_80066B54,4,20,4,0,0,avsz4;nccs;rtps;rtpt,cfc2;lwc2;mfc2;mtc2;swc2,handwritten_asm
0x80066E60,0x3C0,func_80066E60,5,32,4,0,0,avsz4;nccs;ncct;rtps;rtpt,cfc2;lwc2;mfc2;mtc2;swc2,handwritten_asm
0x80067220,0x134,func_80067220,2,10,8,0,0,nccs;rtps,cfc2;mfc2;mtc2;swc2,unmatched_asm
0x80067354,0x248,func_80067354,2,8,8,0,0,avsz3;nclip,mfc2;mtc2,handwritten_asm
0x8006759C,0x2BC,func_8006759C,3,11,11,0,0,avsz4;nclip,mfc2;mtc2,handwritten_asm
0x80067858,0x264,func_80067858,2,8,8,0,0,avsz3;nclip,mfc2;mtc2,handwritten_asm
0x80067ABC,0x2D8,func_80067ABC,3,11,11,0,0,avsz4;nclip,mfc2;mtc2,handwritten_asm
0x80067D94,0x23C,func_80067D94,1,7,7,0,0,avsz3,mfc2;mtc2,handwritten_asm
0x80067FD0,0x28C,func_80067FD0,1,8,8,0,0,avsz4,mfc2;mtc2,handwritten_asm
0x8006825C,0x258,func_8006825C,1,7,7,0,0,avsz3,mfc2;mtc2,handwritten_asm
0x800684B4,0x2A8,func_800684B4,1,8,8,0,0,avsz4,mfc2;mtc2,handwritten_asm
0x8006875C,0x2A4,func_8006875C,2,8,8,0,0,avsz3;nclip,mfc2;mtc2,handwritten_asm
0x80068A00,0x318,func_80068A00,3,11,11,0,0,avsz4;nclip,mfc2;mtc2,handwritten_asm
0x80068D18,0x2C0,func_80068D18,2,8,8,0,0,avsz3;nclip,mfc2;mtc2,handwritten_asm
0x80068FD8,0x334,func_80068FD8,3,11,11,0,0,avsz4;nclip,mfc2;mtc2,handwritten_asm
0x8006930C,0x298,func_8006930C,1,7,7,0,0,avsz3,mfc2;mtc2,handwritten_asm
0x800695A4,0x2E8,func_800695A4,1,8,8,0,0,avsz4,mfc2;mtc2,handwritten_asm
0x8006988C,0x2B4,func_8006988C,1,7,7,0,0,avsz3,mfc2;mtc2,handwritten_asm
0x80069B40,0x304,func_80069B40,1,8,8,0,0,avsz4,mfc2;mtc2,handwritten_asm
0x80069E44,0x150,func_80069E44,2,12,2,0,0,avsz3;rtpt,cfc2;lwc2;mfc2;swc2,handwritten_asm
0x80069F94,0x154,func_80069F94,2,12,2,0,0,avsz3;rtpt,cfc2;lwc2;mfc2;swc2,handwritten_asm
0x8006A0E8,0x180,func_8006A0E8,3,17,3,0,0,avsz4;rtps;rtpt,cfc2;lwc2;mfc2;swc2,handwritten_asm
0x8006A268,0x188,func_8006A268,3,17,3,0,0,avsz4;rtps;rtpt,cfc2;lwc2;mfc2;swc2,handwritten_asm
0x8006A3F0,0x150,func_8006A3F0,2,12,2,0,0,avsz3;rtpt,cfc2;lwc2;mfc2;swc2,handwritten_asm
0x8006A540,0x154,func_8006A540,2,12,2,0,0,avsz3;rtpt,cfc2;lwc2;mfc2;swc2,handwritten_asm
0x8006A694,0x180,func_8006A694,3,17,3,0,0,avsz4;rtps;rtpt,cfc2;lwc2;mfc2;swc2,handwritten_asm
0x8006A814,0x188,func_8006A814,3,17,3,0,0,avsz4;rtps;rtpt,cfc2;lwc2;mfc2;swc2,handwritten_asm
0x8006A99C,0x160,func_8006A99C,1,4,4,0,0,avsz3,mfc2;mtc2,handwritten_asm
0x8006AAFC,0x18C,func_8006AAFC,1,5,5,0,0,avsz4,mfc2;mtc2,handwritten_asm
0x8006AC88,0x160,func_8006AC88,1,4,4,0,0,avsz3,mfc2;mtc2,handwritten_asm
0x8006ADE8,0x18C,func_8006ADE8,1,5,5,0,0,avsz4,mfc2;mtc2,handwritten_asm
