duelist_id,duelist,pool,card_id,card,weight,chance_percent
0,(unused; copy of Simon Muran),S/A POW,2,Mystical Elf,27,1.3184
0,(unused; copy of Simon Muran),S/A POW,9,Shadow Specter,90,4.3945
0,(unused; copy of Simon Muran),S/A POW,10,Blackland Fire Dragon,30,1.4648
0,(unused; copy of Simon Muran),S/A POW,16,Time Wizard,60,2.9297
0,(unused; copy of Simon Muran),S/A POW,19,Right Arm of the Forbidden One,6,0.293
0,(unused; copy of Simon Muran),S/A POW,24,Skull Servant,27,1.3184
0,(unused; copy of Simon Muran),S/A POW,25,Horn Imp,27,1.3184
0,(unused; copy of Simon Muran),S/A POW,30,Zombie Warrior,27,1.3184
0,(unused; copy of Simon Muran),S/A POW,41,Celtic Guardian,27,1.3184
0,(unused; copy of Simon Muran),S/A POW,46,Griffore,27,1.3184
0,(unused; copy of Simon Muran),S/A POW,47,Torike,27,1.3184
0,(unused; copy of Simon Muran),S/A POW,48,Sangan,27,1.3184
0,(unused; copy of Simon Muran),S/A POW,58,Kuriboh,30,1.4648
0,(unused; copy of Simon Muran),S/A POW,59,Mammoth Graveyard,27,1.3184
0,(unused; copy of Simon Muran),S/A POW,65,Silver Fang,27,1.3184
0,(unused; copy of Simon Muran),S/A POW,105,Tomozaurus,52,2.5391
0,(unused; copy of Simon Muran),S/A POW,123,Dark Plant,52,2.5391
0,(unused; copy of Simon Muran),S/A POW,130,Weather Control,52,2.5391
0,(unused; copy of Simon Muran),S/A POW,137,Mystery Hand,52,2.5391
0,(unused; copy of Simon Muran),S/A POW,167,Ancient Jar,52,2.5391
0,(unused; copy of Simon Muran),S/A POW,192,Key Mace,52,2.5391
0,(unused; copy of Simon Muran),S/A POW,197,Mech Mole Zombie,52,2.5391
0,(unused; copy of Simon Muran),S/A POW,202,Air Marmot of Nefariousness,52,2.5391
0,(unused; copy of Simon Muran),S/A POW,237,Haniwa,52,2.5391
0,(unused; copy of Simon Muran),S/A POW,238,Yashinoki,12,0.5859
0,(unused; copy of Simon Muran),S/A POW,289,Change Slime,52,2.5391
0,(unused; copy of Simon Muran),S/A POW,333,Sogen,40,1.9531
0,(unused; copy of Simon Muran),S/A POW,381,Toon Alligator,2,0.0977
0,(unused; copy of Simon Muran),S/A POW,387,Mystic Lamp,52,2.5391
0,(unused; copy of Simon Muran),S/A POW,397,Leghul,52,2.5391
0,(unused; copy of Simon Muran),S/A POW,402,Monster Eye,52,2.5391
0,(unused; copy of Simon Muran),S/A POW,410,Mechanical Spider,52,2.5391
0,(unused; copy of Simon Muran),S/A POW,411,Bat,52,2.5391
0,(unused; copy of Simon Muran),S/A POW,422,Jinzo #7,52,2.5391
0,(unused; copy of Simon Muran),S/A POW,436,White Dolphin,52,2.5391
0,(unused; copy of Simon Muran),S/A POW,444,Turu-Purun,52,2.5391
0,(unused; copy of Simon Muran),S/A POW,469,Armed Ninja,52,2.5391
0,(unused; copy of Simon Muran),S/A POW,484,Ameba,52,2.5391
0,(unused; copy of Simon Muran),S/A POW,485,Korogashi,52,2.5391
0,(unused; copy of Simon Muran),S/A POW,488,Rainbow Flower,52,2.5391
0,(unused; copy of Simon Muran),S/A POW,504,Fungi of the Musk,52,2.5391
0,(unused; copy of Simon Muran),S/A POW,516,Muka Muka,52,2.5391
0,(unused; copy of Simon Muran),S/A POW,547,Griggle,52,2.5391
0,(unused; copy of Simon Muran),S/A POW,548,Bone Mouse,52,2.5391
0,(unused; copy of Simon Muran),S/A POW,558,Pot the Trick,52,2.5391
0,(unused; copy of Simon Muran),S/A POW,563,Wretched Ghost of the Attic,52,2.5391
0,(unused; copy of Simon Muran),S/A POW,635,Queen's Double,52,2.5391
0,(unused; copy of Simon Muran),B/C/D,9,Shadow Specter,98,4.7852
0,(unused; copy of Simon Muran),B/C/D,16,Time Wizard,57,2.7832
0,(unused; copy of Simon Muran),B/C/D,19,Right Arm of the Forbidden One,6,0.293
0,(unused; copy of Simon Muran),B/C/D,24,Skull Servant,29,1.416
0,(unused; copy of Simon Muran),B/C/D,47,Torike,29,1.416
0,(unused; copy of Simon Muran),B/C/D,48,Sangan,29,1.416
