duelist_id,duelist,pow_cards,pow_best,bcd_cards,bcd_best,tec_cards,tec_best,deck_cards,deck_best
0,(unused; copy of Simon Muran),47,90,43,98,49,92,32,100
1,Simon Muran,47,90,43,98,49,92,32,100
2,Teana,19,180,17,180,23,170,21,400
3,Jono,56,64,52,64,58,60,23,120
4,Villager 1,43,74,35,76,61,60,27,160
5,Villager 2,133,30,82,60,83,34,165,64
6,Villager 3,136,36,102,48,101,48,169,64
7,Seto,84,116,84,115,95,100,81,64
8,Heishin,98,48,70,64,86,48,64,32
9,Rex Raptor,102,72,100,52,106,64,83,64
10,Weevil Underwood,81,98,71,120,48,250,157,72
11,Mai Valentine,53,94,40,120,39,136,120,80
12,Bandit Keith,61,92,48,108,53,108,124,83
13,Shadi,120,54,114,44,122,40,118,132
14,Yami Bakura,50,58,51,64,70,74,128,80
15,Pegasus,60,66,52,80,57,64,100,160
16,Isis,48,72,42,88,50,84,101,160
17,Kaiba,42,152,41,174,52,174,99,64
18,Mage Soldier,83,72,76,52,51,76,150,48
19,Jono 2nd,56,44,51,46,60,44,51,100
20,Teana 2nd,13,182,13,182,20,172,40,80
21,Ocean Mage,120,52,112,56,122,50,87,160
22,High Mage Secmeton,78,52,58,76,51,64,145,80
23,Forest Mage,83,120,81,117,95,105,87,160
24,High Mage Anubisius,78,102,77,102,82,93,167,72
25,Mountain Mage,60,72,58,74,77,60,53,160
26,High Mage Atenza,62,75,57,86,65,64,149,72
27,Desert Mage,103,80,100,70,106,64,58,160
28,High Mage Martis,149,30,142,34,144,36,120,72
29,Meadow Mage,52,150,47,178,37,150,70,160
30,High Mage Kepura,53,72,45,80,32,100,165,120
31,Labyrinth Mage,138,30,130,40,138,36,93,120
32,Seto 2nd,95,60,81,58,97,48,94,160
33,Guardian Sebek,70,74,65,76,71,70,123,160
34,Guardian Neku,77,67,72,67,81,67,87,160
35,Heishin 2nd,98,48,70,64,86,48,74,160
36,Seto 3rd,83,48,70,54,99,48,63,160
37,DarkNite,81,70,79,72,80,70,91,80
38,Nitemare,65,66,53,66,69,60,70,148
39,Duel Master K,136,36,102,48,101,48,32,100
