equip_id,equip,monster_id,monster
301,Legendary Sword,12,Swamp Battleguard
301,Legendary Sword,15,Flame Swordsman
301,Legendary Sword,26,Battle Ox
301,Legendary Sword,27,Beaver Warrior
301,Legendary Sword,29,Mountain Warrior
301,Legendary Sword,33,Judge Man
301,Legendary Sword,38,Gaia the Fierce Knight
301,Legendary Sword,41,Celtic Guardian
301,Legendary Sword,43,Karbonala Warrior
301,Legendary Sword,64,Tiger Axe
301,Legendary Sword,66,Kojikocy
301,Legendary Sword,78,Axe Raider
301,Legendary Sword,92,Rabid Horseman
301,Legendary Sword,93,Zanki
301,Legendary Sword,100,Battle Warrior
301,Legendary Sword,110,Hero of the East
301,Legendary Sword,118,Supporter in the Shadows
301,Legendary Sword,120,Dream Clown
301,Legendary Sword,131,Octoberser
301,Legendary Sword,133,Charubin the Fire Knight
301,Legendary Sword,138,Dragon Statue
301,Legendary Sword,147,Monster Egg
301,Legendary Sword,151,Rhaimundos of the Red Sword
301,Legendary Sword,156,Hard Armor
301,Legendary Sword,160,M-warrior #1
301,Legendary Sword,161,M-warrior #2
301,Legendary Sword,165,The Judgement Hand
301,Legendary Sword,166,Mysterious Puppeteer
301,Legendary Sword,172,Armaill
301,Legendary Sword,185,Eyearmor
301,Legendary Sword,196,Arma Knight
301,Legendary Sword,199,Penguin Knight
301,Legendary Sword,212,Meotoko
301,Legendary Sword,224,Trap Master
301,Legendary Sword,231,Wood Clown
301,Legendary Sword,235,Wodan the Resident of the Forest
301,Legendary Sword,250,Hyo
301,Legendary Sword,252,Nekogal #1
301,Legendary Sword,256,Dimensional Warrior
301,Legendary Sword,262,The Little Swordsman of Aile
301,Legendary Sword,265,The Furious Sea King
301,Legendary Sword,266,Princess of Tsurugi
301,Legendary Sword,286,Gatekeeper
301,Legendary Sword,290,Moon Envoy
301,Legendary Sword,291,Fireyarou
301,Legendary Sword,293,Masaki the Legendary Swordsman
301,Legendary Sword,299,Sonic Maid
301,Legendary Sword,352,Kanan the Swordmistress
301,Legendary Sword,354,Stuffed Animal
301,Legendary Sword,362,Millennium Shield
301,Legendary Sword,389,Giltia the D. Knight
301,Legendary Sword,399,Swordsman from a Foreign Land
301,Legendary Sword,434,Beautiful Beast Trainer
301,Legendary Sword,456,Minomushi Warrior
301,Legendary Sword,479,Cockroach Knight
301,Legendary Sword,502,D. Human
301,Legendary Sword,511,Bean Soldier
301,Legendary Sword,553,Mushroom Man #2
301,Legendary Sword,572,Empress Judge
301,Legendary Sword,601,Tenderness
301,Legendary Sword,609,Bladefly
301,Legendary Sword,701,Performance of Sword
301,Legendary Sword,704,Skull Guardian
302,Sword of Dark Destruction,12,Swamp Battleguard
302,Sword of Dark Destruction,14,Battle Steer
302,Sword of Dark Destruction,22,Summoned Skull
302,Sword of Dark Destruction,23,The Wicked Worm Beast
302,Sword of Dark Destruction,25,Horn Imp
302,Sword of Dark Destruction,30,Zombie Warrior
302,Sword of Dark Destruction,38,Gaia the Fierce Knight
302,Sword of Dark Destruction,66,Kojikocy
302,Sword of Dark Destruction,68,Garoozis
302,Sword of Dark Destruction,107,Kageningen
302,Sword of Dark Destruction,119,Trial of Nightmares
302,Sword of Dark Destruction,124,Ancient Tool
302,Sword of Dark Destruction,127,Ansatsu
302,Sword of Dark Destruction,182,Masked Clown
302,Sword of Dark Destruction,195,Doron
302,Sword of Dark Destruction,214,Kagemusha of the Blue Flame
302,Sword of Dark Destruction,219,Solitude
302,Sword of Dark Destruction,225,Fiend Sword
302,Sword of Dark Destruction,226,Skull Stalker
302,Sword of Dark Destruction,234,Beautiful Headhuntress
302,Sword of Dark Destruction,236,Guardian of the Labyrinth
302,Sword of Dark Destruction,239,Vishwar Randi
302,Sword of Dark Destruction,241,Dark Assailant
302,Sword of Dark Destruction,246,One Who Hunts Souls
302,Sword of Dark Destruction,256,Dimensional Warrior
302,Sword of Dark Destruction,267,Unknown Warrior of Fiend
302,Sword of Dark Destruction,269,Versago the Destroyer
302,Sword of Dark Destruction,281,Mystic Clown
302,Sword of Dark Destruction,293,Masaki the Legendary Swordsman
302,Sword of Dark Destruction,294,Dragoness the Wicked Knight
302,Sword of Dark Destruction,297,Cyber Soldier of Darkworld
302,Sword of Dark Destruction,355,Megasonic Eye
302,Sword of Dark Destruction,356,Super War-lion
302,Sword of Dark Destruction,359,Three-legged Zombies
302,Sword of Dark Destruction,360,Zera The Mant
302,Sword of Dark Destruction,364,Black Luster Soldier
302,Sword of Dark Destruction,369,Wall Shadow
302,Sword of Dark Destruction,374,Gate Guardian
302,Sword of Dark Destruction,376,Monster Tamer
302,Sword of Dark Destruction,378,Swordstalker
302,Sword of Dark Destruction,405,Saber Slasher
302,Sword of Dark Destruction,406,Yaiba Robo
302,Sword of Dark Destruction,416,Blocker
302,Sword of Dark Destruction,469,Armed Ninja
302,Sword of Dark Destruction,523,The Bistro Butcher
302,Sword of Dark Destruction,554,Lava Battleguard
302,Sword of Dark Destruction,559,Oscillo Hero
302,Sword of Dark Destruction,585,Mechanical Snail
302,Sword of Dark Destruction,586,Greenkappa
302,Sword of Dark Destruction,618,Warrior of Tradition
302,Sword of Dark Destruction,621,Succubus Knight
302,Sword of Dark Destruction,635,Queen's Double
302,Sword of Dark Destruction,641,Invader of the Throne
302,Sword of Dark Destruction,649,Hibikime
302,Sword of Dark Destruction,702,Hungry Burger
302,Sword of Dark Destruction,707,Skull Knight
302,Sword of Dark Destruction,715,Psycho-Puppet
302,Sword of Dark Destruction,716,Garma Sword
302,Sword of Dark Destruction,720,Mask of Shine & Dark
302,Sword of Dark Destruction,722,Magician of Black Chaos
303,Dark Energy,3,Hitotsu-me Giant
303,Dark Energy,5,Ryu-kishin
303,Dark Energy,6,Feral Imp
303,Dark Energy,9,Shadow Specter
303,Dark Energy,10,Blackland Fire Dragon
303,Dark Energy,12,Swamp Battleguard
303,Dark Energy,16,Time Wizard
303,Dark Energy,17,Right Leg of the Forbidden One
303,Dark Energy,18,Left Leg of the Forbidden One
303,Dark Energy,19,Right Arm of the Forbidden One
303,Dark Energy,20,Left Arm of the Forbidden One
303,Dark Energy,21,Exodia the Forbidden
303,Dark Energy,22,Summoned Skull
303,Dark Energy,23,The Wicked Worm Beast
303,Dark Energy,24,Skull Servant
303,Dark Energy,25,Horn Imp
303,Dark Energy,30,Zombie Warrior
303,Dark Energy,31,Koumori Dragon
303,Dark Energy,34,Saggi the Dark Clown
303,Dark Energy,35,Dark Magician
