material_a_id,material_a,material_b_id,material_b,result_id,result
2,Mystical Elf,8,Mushroom Man,638,Queen of Autumn Leaves
2,Mystical Elf,9,Shadow Specter,470,Magical Ghost
2,Mystical Elf,10,Blackland Fire Dragon,551,Dark Elf
2,Mystical Elf,12,Swamp Battleguard,551,Dark Elf
2,Mystical Elf,17,Right Leg of the Forbidden One,551,Dark Elf
2,Mystical Elf,18,Left Leg of the Forbidden One,551,Dark Elf
2,Mystical Elf,19,Right Arm of the Forbidden One,551,Dark Elf
2,Mystical Elf,20,Left Arm of the Forbidden One,551,Dark Elf
2,Mystical Elf,21,Exodia the Forbidden,551,Dark Elf
2,Mystical Elf,24,Skull Servant,470,Magical Ghost
2,Mystical Elf,28,Rock Ogre Grotto #1,531,Mystical Sand
2,Mystical Elf,30,Zombie Warrior,470,Magical Ghost
2,Mystical Elf,34,Saggi the Dark Clown,551,Dark Elf
2,Mystical Elf,45,Oscillo Hero #2,462,The Immortal of Thunder
2,Mystical Elf,46,Griffore,627,Nekogal #2
2,Mystical Elf,47,Torike,627,Nekogal #2
2,Mystical Elf,61,Wolf,627,Nekogal #2
2,Mystical Elf,65,Silver Fang,627,Nekogal #2
2,Mystical Elf,74,Giant Soldier of Stone,531,Mystical Sand
2,Mystical Elf,75,Man-eating Plant,638,Queen of Autumn Leaves
2,Mystical Elf,83,Castle of Dark Illusions,551,Dark Elf
2,Mystical Elf,89,Catapult Turtle,449,"30,000-Year White Turtle"
2,Mystical Elf,91,Mystic Horseman,627,Nekogal #2
2,Mystical Elf,100,Battle Warrior,41,Celtic Guardian
2,Mystical Elf,102,Mask of Darkness,551,Dark Elf
2,Mystical Elf,103,Job-change Mirror,551,Dark Elf
2,Mystical Elf,104,Curtain of the Dark Ones,551,Dark Elf
2,Mystical Elf,107,Kageningen,41,Celtic Guardian
2,Mystical Elf,108,Graveyard and the Hand of Invitation,470,Magical Ghost
2,Mystical Elf,109,Goddess with the Third Eye,582,Dark Witch
2,Mystical Elf,110,Hero of the East,41,Celtic Guardian
2,Mystical Elf,111,Doma The Angel of Silence,551,Dark Elf
2,Mystical Elf,112,That Which Feeds on Life,551,Dark Elf
2,Mystical Elf,113,Dark Gray,627,Nekogal #2
2,Mystical Elf,115,Kamion Wizard,551,Dark Elf
2,Mystical Elf,118,Supporter in the Shadows,41,Celtic Guardian
2,Mystical Elf,120,Dream Clown,41,Celtic Guardian
2,Mystical Elf,121,Sleeping Lion,627,Nekogal #2
2,Mystical Elf,123,Dark Plant,638,Queen of Autumn Leaves
2,Mystical Elf,127,Ansatsu,551,Dark Elf
2,Mystical Elf,129,Nemuriko,551,Dark Elf
