card_id,card,recipes_using_it
1,Blue-eyes White Dragon,0
2,Mystical Elf,223
3,Hitotsu-me Giant,10
4,Baby Dragon,311
5,Ryu-kishin,41
6,Feral Imp,12
7,Winged Dragon #1,310
8,Mushroom Man,167
9,Shadow Specter,156
10,Blackland Fire Dragon,243
11,Sword Arm of Dragon,180
12,Swamp Battleguard,31
13,Tyhone,41
14,Battle Steer,0
15,Flame Swordsman,132
16,Time Wizard,71
17,Right Leg of the Forbidden One,73
18,Left Leg of the Forbidden One,73
19,Right Arm of the Forbidden One,73
20,Left Arm of the Forbidden One,73
21,Exodia the Forbidden,73
22,Summoned Skull,1
23,The Wicked Worm Beast,31
24,Skull Servant,159
25,Horn Imp,12
26,Battle Ox,1
27,Beaver Warrior,0
28,Rock Ogre Grotto #1,145
29,Mountain Warrior,0
30,Zombie Warrior,131
31,Koumori Dragon,237
32,Two-headed King Rex,34
33,Judge Man,0
34,Saggi the Dark Clown,73
35,Dark Magician,0
36,The Snake Hair,47
37,Gaia the Dragon Champion,13
38,Gaia the Fierce Knight,1
39,Curse of Dragon,37
40,Dragon Piper,165
41,Celtic Guardian,142
42,Illusionist Faceless Mage,36
43,Karbonala Warrior,43
44,Rogue Doll,14
45,Oscillo Hero #2,154
46,Griffore,174
47,Torike,174
48,Sangan,15
49,Big Insect,1
50,Basic Insect,14
51,Armored Lizard,3
52,Hercules Beetle,1
53,Killer Needle,1
54,Gokibore,1
55,Giant Flea,1
56,Larvae Moth,14
57,Great Moth,0
58,Kuriboh,17
59,Mammoth Graveyard,74
60,Great White,39
61,Wolf,174
62,Harpie Lady,158
63,Harpie Lady Sisters,59
64,Tiger Axe,1
65,Silver Fang,174
66,Kojikocy,43
67,Perfectly Ultimate Great Moth,0
68,Garoozis,110
69,Thousand Dragon,13
70,Fiend Kraken,50
71,Jellyfish,33
72,Cocoon of Evolution,14
73,Kairyu-shin,131
74,Giant Soldier of Stone,86
75,Man-eating Plant,167
76,Krokodilus,3
77,Grappler,3
78,Axe Raider,43
79,Megazowler,0
80,Uraby,34
81,Crawling Dragon #2,237
82,Red-eyes B. Dragon,15
83,Castle of Dark Illusions,22
84,Reaper of the Cards,11
